"","Date","PM2.5.Median","baseline_ny_median","Change_from_Baseline"
"1","03/21/2020",17,40,-57.5
"2","03/22/2020",22,30,-26.6666666666667
"3","03/23/2020",11,35,-68.5714285714286
"4","03/24/2020",13,33,-60.6060606060606
"5","03/25/2020",18,35,-48.5714285714286
"6","03/26/2020",24,33,-27.2727272727273
"7","03/27/2020",23,40,-42.5
"8","03/28/2020",17,40,-57.5
"9","03/29/2020",5,30,-83.3333333333333
"10","03/30/2020",13,35,-62.8571428571429
"11","03/31/2020",8,33,-75.7575757575758
"12","04/01/2020",16.5,35,-52.8571428571429
"13","04/02/2020",14,33,-57.5757575757576
"14","04/03/2020",10.5,40,-73.75
"15","04/04/2020",15,40,-62.5
"16","04/05/2020",27.5,30,-8.33333333333333
"17","04/06/2020",16,35,-54.2857142857143
"18","04/07/2020",18,33,-45.4545454545455
"19","04/08/2020",22.5,35,-35.7142857142857
"20","04/09/2020",17,33,-48.4848484848485
"21","04/10/2020",10.5,40,-73.75
"22","04/11/2020",16.5,40,-58.75
"23","04/12/2020",27.5,30,-8.33333333333333
"24","04/13/2020",13,35,-62.8571428571429
"25","04/14/2020",14.5,33,-56.0606060606061
"26","04/15/2020",20,35,-42.8571428571429
"27","04/16/2020",17.5,33,-46.969696969697
"28","04/17/2020",22.5,40,-43.75
"29","04/18/2020",24,40,-40
"30","04/19/2020",29,30,-3.33333333333333
"31","04/20/2020",14.5,35,-58.5714285714286
"32","04/21/2020",16,33,-51.5151515151515
"33","04/22/2020",18.5,35,-47.1428571428571
"34","04/23/2020",25,33,-24.2424242424242
"35","04/24/2020",21,40,-47.5
"36","04/25/2020",22.5,40,-43.75
"37","04/26/2020",17.5,30,-41.6666666666667
"38","04/27/2020",15.5,35,-55.7142857142857
"39","04/28/2020",22,33,-33.3333333333333
"40","04/29/2020",25.5,35,-27.1428571428571
"41","04/30/2020",15.5,33,-53.030303030303
"42","05/01/2020",13.5,40,-66.25
