Week of,Appalachian thousand short tons,Interior thousand short tons,Western thousand short tons,U.S. Total thousand short tons
05/2/2020,2331,1476,4363,8170
04/25/2020,2445,1522,4612,8579
04/18/2020,2434,1559,4630,8623
04/11/2020,2660,1685,4979,9324
04/4/2020,2909,1850,5464,10222
03/28/2020,3128,2017,5830,10975
03/21/2020,2844,1862,5391,10097
03/14/2020,2840,1857,5302,9999
03/7/2020,3010,1941,5611,10562
02/29/2020,3185,2145,5916,11246
02/22/2020,3283,2209,6009,11501
02/15/2020,3271,2170,5975,11415
02/8/2020,3334,2246,6194,11774
02/1/2020,3584,2411,6560,12554
01/25/2020,3551,2356,6486,12393
01/18/2020,3624,2441,6732,12797
01/11/2020,3692,2484,6758,12934
01/4/2020,3426,2221,6658,12306
12/28/2019,2740,1714,5809,10264
12/21/2019,3353,2098,7109,12559
12/14/2019,3366,2106,7137,12610
12/7/2019,3370,2108,7145,12624
11/30/2019,3159,1976,6697,11832
11/23/2019,3531,2209,7486,13227
11/16/2019,3380,2115,7166,12660
11/9/2019,3499,2189,7419,13108
11/2/2019,3381,2115,7169,12666
10/26/2019,3407,2131,7222,12760
10/19/2019,3495,2186,7410,13091
10/12/2019,3440,2152,7293,12885
10/5/2019,3544,2281,7585,13410
09/28/2019,3534,2454,7759,13747
09/21/2019,3525,2448,7741,13714
09/14/2019,3609,2506,7925,14040
09/7/2019,3457,2401,7592,13450
08/31/2019,3873,2689,8505,15067
08/24/2019,3634,2524,7980,14138
08/17/2019,3819,2652,8386,14857
08/10/2019,3455,2399,7586,13440
08/3/2019,3740,2597,8212,14548
07/27/2019,3632,2522,7974,14127
07/20/2019,3512,2439,7712,13663
07/13/2019,3614,2510,7937,14061
07/6/2019,2654,1813,5682,10149
06/29/2019,4029,2478,7254,13760
06/22/2019,4024,2475,7244,13743
06/15/2019,3991,2455,7185,13631
06/8/2019,3664,2254,6597,12515
06/1/2019,3624,2229,6524,12377
05/25/2019,3943,2425,7099,13468
05/18/2019,4316,2655,7771,14742
05/11/2019,4129,2540,7434,14103
